ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
48,0,0,0,0,877,NL,"2016-11-17 06:00:00",0,0,0,0,365,,,,,,533
6,0,0,0,0,877,IT,"2016-11-17 06:00:00",0,0,0,0,142476,,,,,,533
138,0,0,0,0,877,IT,"2016-11-17 22:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,IE,"2016-11-17 09:00:00",0,0,0,0,142476,,,,,,533
30,0,0,0,0,877,UK,"2016-11-17 20:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,DK,"2016-11-17 07:00:00",0,0,0,0,365,,,,,,47266
12,0,0,0,0,877,SE,"2016-11-17 09:00:00",0,0,0,0,142476,,,,,,533
12,0,0,0,0,877,SE,"2016-11-17 10:00:00",0,0,0,0,142476,,,,,,533
24,0,0,0,0,877,UK,"2016-11-17 19:00:00",0,0,0,0,142476,,,,,,533
138,0,0,0,0,877,IT,"2016-11-17 12:00:00",0,0,0,0,1899,,,,,,533
336,0,0,0,0,877,US,"2016-11-17 11:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,IT,"2016-11-17 11:00:00",0,0,0,0,365,,,,,,47266
30,0,0,0,0,877,IT,"2016-11-17 04:00:00",0,0,0,0,365,,,,,,47266
18,0,0,0,0,877,CA,"2016-11-17 14:00:00",0,0,0,0,142476,,,,,,533
270,0,0,0,0,877,US,"2016-11-17 23:00:00",0,0,0,0,365,,,,,,533
2,2,0,0,214,877,KR,"2016-11-17 14:00:00",0,0,0,0,12738,,,14305,,,2962
0,0,1,1,98,877,CN,"2016-11-17 20:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,55d6e1db4a8a6ad14b0000c9,2962
24,0,0,0,0,877,IE,"2016-11-17 18:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,UK,"2016-11-17 14:00:00",0,0,0,0,142476,,,,,,533
66,0,0,0,0,877,CH,"2016-11-17 20:00:00",0,0,0,0,1899,,,,,,533
48,0,0,0,0,877,NL,"2016-11-17 17:00:00",0,0,0,0,365,,,,,,533
0,0,1,1,98,877,RU,"2016-11-17 09:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,566f71063fc0263d5a00000e,2962
24,0,0,0,0,877,CH,"2016-11-17 00:00:00",0,0,0,0,365,,,,,,533
18,0,0,0,0,877,SE,"2016-11-17 08:00:00",0,0,0,0,365,,,,,,533
18,0,0,0,0,877,DK,"2016-11-17 06:00:00",0,0,0,0,365,,,,,,533
0,0,0,0,0,877,SN,"2016-11-17 05:00:00",4,1,0,0,0,,,,,,2385
2,2,0,0,214,877,KR,"2016-11-17 20:00:00",0,0,0,0,12738,,,14305,,,2962
90,0,0,0,0,877,IE,"2016-11-17 22:00:00",0,0,0,0,1899,,,,,,533
30,0,0,0,0,877,IT,"2016-11-17 14:00:00",0,0,0,0,365,,,,,,533
0,0,0,0,0,877,US,"2016-11-17 02:00:00",0,7,0,0,0,,,,,,113773
78,0,0,0,0,877,DE,"2016-11-17 09:00:00",0,0,0,0,365,,,,,,533
156,0,0,0,0,877,DK,"2016-11-17 18:00:00",0,0,0,0,1899,,,,,,533
30,0,0,0,0,877,IT,"2016-11-17 16:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-17 12:00:00",0,0,0,0,334322,,,default,e64a7f34a0e33ce2_default,,2962
1,1,0,0,0,877,CN,"2016-11-17 08:00:00",0,0,0,0,45684,,,,,,38406
24,0,0,0,0,877,IE,"2016-11-17 23:00:00",0,0,0,0,365,,,,,,47266
294,0,0,0,0,877,UK,"2016-11-17 14:00:00",0,0,0,0,1899,,,,,,533
204,0,0,0,0,877,AT,"2016-11-17 01:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,BR,"2016-11-17 13:00:00",0,0,0,0,0,,,,,,123959
0,0,1,1,98,877,CN,"2016-11-17 16:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,521b36c58e60e5e30d000008,2962
