ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
0,0,1,1,98,877,RU,"2016-11-19 08:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
2,0,0,0,0,877,US,"2016-11-19 05:00:00",0,0,0,0,84650,{file_id},,{offer_id},{affiliate_id},{affiliate_sub},2385
30,0,0,0,0,877,SE,"2016-11-19 00:00:00",0,0,0,0,365,,,,,,47266
1,1,0,0,2087,877,US,"2016-11-19 16:00:00",0,0,0,0,217689,{file_id},,{offer_id},{affiliate_id},,2385
726,0,0,0,0,877,DE,"2016-11-19 23:00:00",0,0,0,0,1899,,,,,,533
12,0,0,0,0,877,IE,"2016-11-19 04:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,AT,"2016-11-19 12:00:00",0,0,0,0,365,,,,,,47266
2,2,0,0,2414,877,US,"2016-11-19 00:00:00",0,0,0,0,334322,,,default,851882d1a2ad79e6_default,,2962
30,0,0,0,0,877,IT,"2016-11-19 09:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,UK,"2016-11-19 11:00:00",0,0,0,0,142476,,,,,,533
1,1,0,0,5,877,IN,"2016-11-19 03:00:00",0,0,0,0,75692,95477136527,,651081503,d,AdMob,60916
390,0,0,0,0,877,NL,"2016-11-19 15:00:00",0,0,0,0,1899,,,,,,533
714,0,0,0,0,877,DE,"2016-11-19 04:00:00",0,0,0,0,1899,,,,,,533
0,0,3,2,98,877,RU,"2016-11-19 00:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
0,0,1,1,98,877,RU,"2016-11-19 22:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5464b1ee75458afd19000058,2962
12,0,0,0,0,877,SE,"2016-11-19 00:00:00",0,0,0,0,142476,,,,,,533
1,0,0,0,0,877,US,"2016-11-19 12:00:00",0,0,0,0,49902,{file_id},,{offer_id},{affiliate_id},{aff_sub},2385
126,0,0,0,0,877,SE,"2016-11-19 12:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,CH,"2016-11-19 15:00:00",0,0,0,0,142476,,,,,,533
108,0,0,0,0,877,SE,"2016-11-19 05:00:00",0,0,0,0,1899,,,,,,533
42,0,0,0,0,877,AT,"2016-11-19 21:00:00",0,0,0,0,365,,,,,,533
1,1,0,0,1783,877,US,"2016-11-19 06:00:00",0,0,0,0,181341,,,,[PID],,2962
30,0,0,0,0,877,AT,"2016-11-19 20:00:00",0,0,0,0,142476,,,,,,533
0,0,0,0,0,877,US,"2016-11-19 14:00:00",0,7,0,0,0,,,,,,113773
175,0,0,0,0,877,US,"2016-11-19 00:00:00",0,0,0,0,142476,,,,,,533
0,0,1,1,98,877,CN,"2016-11-19 06:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,554cc00458fd41a431000090,2962
1,0,0,0,0,877,INT,"2016-11-19 06:00:00",0,0,0,0,365,,,,,,533
12,0,0,0,0,877,SE,"2016-11-19 16:00:00",0,0,0,0,142476,,,,,,533
0,0,0,0,0,877,CN,"2016-11-19 10:00:00",4,1,0,0,0,,,,,,2385
24,0,0,0,0,877,IE,"2016-11-19 13:00:00",0,0,0,0,365,,,,,,47266
0,0,1,1,98,877,RU,"2016-11-19 14:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,56936501a6fd13b672000017,2962
1,1,0,0,214,877,KR,"2016-11-19 23:00:00",0,0,0,0,12738,,,14305,,,2962
30,0,0,0,0,877,UK,"2016-11-19 21:00:00",0,0,0,0,365,,,,,,47266
0,0,3,1,98,877,RU,"2016-11-19 23:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
1,1,0,0,1072,877,SD,"2016-11-19 05:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
42,0,0,0,0,877,AT,"2016-11-19 04:00:00",0,0,0,0,365,,,,,,533
1,1,0,0,1783,877,US,"2016-11-19 07:00:00",0,0,0,0,181341,,,,[PID],,2962
48,0,0,0,0,877,NL,"2016-11-19 00:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,AT,"2016-11-19 15:00:00",0,0,0,0,142476,,,,,,533
715,0,0,0,0,877,DE,"2016-11-19 07:00:00",0,0,0,0,1899,,,,,,533
0,0,1,0,98,877,CN,"2016-11-19 02:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,546c783b874b20c73300002a,2962
24,0,0,0,0,877,CH,"2016-11-19 09:00:00",0,0,0,0,365,,,,,,533
270,0,0,0,0,877,US,"2016-11-19 08:00:00",0,0,0,0,365,,,,,,533
2,2,0,0,2414,877,US,"2016-11-19 16:00:00",0,0,0,0,334322,,,default,620a5d14ab25b7b0_default,,2962
12,0,0,0,0,877,SE,"2016-11-19 22:00:00",0,0,0,0,142476,,,,,,533
390,0,0,0,0,877,NL,"2016-11-19 01:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,DK,"2016-11-19 02:00:00",0,0,0,0,142476,,,,,,533
0,0,1,0,98,877,RU,"2016-11-19 23:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,52a861166faa22fa48000009,2962
89,0,0,0,0,877,IE,"2016-11-19 20:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,IR,"2016-11-19 11:00:00",1,0,0,0,0,,,,,,123959
1823,0,0,0,0,877,US,"2016-11-19 04:00:00",0,0,0,0,1899,,,,,,533
60,0,0,0,0,877,NL,"2016-11-19 11:00:00",0,0,0,0,365,,,,,,47266
0,0,1,1,98,877,RU,"2016-11-19 11:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5432c0f02f64768173000111,2962
1,1,0,0,1783,877,US,"2016-11-19 02:00:00",0,0,0,0,181341,,,,[PID],,2962
180,0,0,0,0,877,US,"2016-11-19 17:00:00",0,0,0,0,142476,,,,,,533
288,0,0,0,0,877,US,"2016-11-19 20:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,NL,"2016-11-19 20:00:00",0,0,0,0,142476,,,,,,533
0,0,5,5,98,877,RU,"2016-11-19 04:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
218,0,0,0,0,877,AT,"2016-11-19 10:00:00",0,0,0,0,1899,,,,,,533
48,0,0,0,0,877,DE,"2016-11-19 20:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,CH,"2016-11-19 14:00:00",0,0,0,0,142476,,,,,,533
90,0,0,0,0,877,IE,"2016-11-19 12:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,DK,"2016-11-19 19:00:00",0,0,0,0,142476,,,,,,533
30,0,0,0,0,877,SE,"2016-11-19 01:00:00",0,0,0,0,365,,,,,,47266
0,0,2,2,98,877,CN,"2016-11-19 21:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
6,0,0,0,0,877,CA,"2016-11-19 08:00:00",0,0,0,0,365,,,,,,47266
24,0,0,0,0,877,CH,"2016-11-19 12:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,UK,"2016-11-19 07:00:00",0,0,0,0,365,,,,,,47266
48,0,0,0,0,877,NL,"2016-11-19 13:00:00",0,0,0,0,365,,,,,,533
