ad_clicks,ad_clicks_unique,ad_impressions,ad_impressions_unique,ad_network_id,advertiser_id,country.code,date_hour,events,installs,is_reengagement,payouts,publisher_id,publisher_sub_ad.ref,publisher_sub_adgroup.ref,publisher_sub_campaign.ref,publisher_sub_publisher.ref,publisher_sub_site.ref,site_id
18,0,0,0,0,877,DK,"2016-11-18 11:00:00",0,0,0,0,365,,,,,,533
1824,0,0,0,0,877,US,"2016-11-18 14:00:00",0,0,0,0,1899,,,,,,533
18,0,0,0,0,877,CA,"2016-11-18 09:00:00",0,0,0,0,365,,,,,,533
1825,0,0,0,0,877,US,"2016-11-18 01:00:00",0,0,0,0,1899,,,,,,533
0,0,1,1,98,877,RU,"2016-11-18 07:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5432c1667f34cd58410001b6,2962
48,0,0,0,0,877,NL,"2016-11-18 22:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,IT,"2016-11-18 11:00:00",0,0,0,0,365,,,,,,47266
1,1,0,0,1072,877,PH,"2016-11-18 22:00:00",0,0,0,0,75940,8403,5401,767,37541,,2962
66,0,0,0,0,877,CH,"2016-11-18 05:00:00",0,0,0,0,1899,,,,,,533
60,0,0,0,0,877,NL,"2016-11-18 19:00:00",0,0,0,0,365,,,,,,47266
60,0,0,0,0,877,NL,"2016-11-18 16:00:00",0,0,0,0,365,,,,,,47266
156,0,0,0,0,877,DK,"2016-11-18 10:00:00",0,0,0,0,1899,,,,,,533
270,0,0,0,0,877,US,"2016-11-18 19:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,AT,"2016-11-18 15:00:00",0,0,0,0,365,,,,,,47266
714,0,0,0,0,877,DE,"2016-11-18 18:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,IR,"2016-11-18 00:00:00",0,0,0,0,1465,,,,,,123959
0,0,1,0,98,877,CN,"2016-11-18 19:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
18,0,0,0,0,877,DK,"2016-11-18 22:00:00",0,0,0,0,365,,,,,,533
2,2,0,0,2414,877,US,"2016-11-18 23:00:00",0,0,0,0,334322,,,default,851882d1a2ad79e6_default,,2962
6,0,0,0,0,877,CH,"2016-11-18 12:00:00",0,0,0,0,142476,,,,,,533
174,0,0,0,0,877,US,"2016-11-18 23:00:00",0,0,0,0,142476,,,,,,533
48,0,0,0,0,877,NL,"2016-11-18 13:00:00",0,0,0,0,365,,,,,,533
714,0,0,0,0,877,DE,"2016-11-18 22:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,IQ,"2016-11-18 01:00:00",0,0,0,0,0,,,,,,123959
6,0,0,0,0,877,CH,"2016-11-18 00:00:00",0,0,0,0,142476,,,,,,533
66,0,0,0,0,877,CH,"2016-11-18 18:00:00",0,0,0,0,1899,,,,,,533
174,0,0,0,0,877,US,"2016-11-18 01:00:00",0,0,0,0,142476,,,,,,533
2,2,0,0,2414,877,US,"2016-11-18 10:00:00",0,0,0,0,334322,,,default,ec372962f48f3529_default,,2962
24,0,0,0,0,877,AT,"2016-11-18 19:00:00",0,0,0,0,365,,,,,,47266
336,0,0,0,0,877,US,"2016-11-18 16:00:00",0,0,0,0,365,,,,,,47266
138,0,0,0,0,877,IT,"2016-11-18 14:00:00",0,0,0,0,1899,,,,,,533
0,0,0,0,0,877,US,"2016-11-18 13:00:00",2,0,0,0,0,,,,,,2962
0,0,2,2,98,877,RU,"2016-11-18 21:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
2,0,0,0,1993,877,US,"2016-11-18 07:00:00",0,0,0,0,308307,,,,,,121609
0,0,0,0,0,877,US,"2016-11-18 00:00:00",0,0,0,0,0,,,,,,123959
6,0,0,0,0,877,DK,"2016-11-18 12:00:00",0,0,0,0,365,,,,,,47266
42,0,0,0,0,877,UK,"2016-11-18 05:00:00",0,0,0,0,365,,,,,,533
137,0,0,0,0,877,IT,"2016-11-18 12:00:00",0,0,0,0,1899,,,,,,533
6,0,0,0,0,877,CA,"2016-11-18 03:00:00",0,0,0,0,365,,,,,,47266
1833,0,0,0,0,877,US,"2016-11-18 00:00:00",0,0,0,0,1899,,,,,,533
30,0,0,0,0,877,AT,"2016-11-18 08:00:00",0,0,0,0,142476,,,,,,533
0,0,2,0,98,877,RU,"2016-11-18 22:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,5767da97de4dacbc140000e7,2962
24,0,0,0,0,877,AT,"2016-11-18 02:00:00",0,0,0,0,365,,,,,,47266
0,0,0,0,0,877,US,"2016-11-18 03:00:00",0,7,0,0,0,,,,,,114023
108,0,0,0,0,877,DE,"2016-11-18 20:00:00",0,0,0,0,365,,,,,,47266
0,0,4,4,98,877,RU,"2016-11-18 04:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,50046b006d791be34e17e959,2962
271,0,0,0,0,877,US,"2016-11-18 01:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,AT,"2016-11-18 09:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,DK,"2016-11-18 07:00:00",0,0,0,0,142476,,,,,,533
0,0,1,1,98,877,CN,"2016-11-18 07:00:00",0,0,0,0,212933,Client_6s_AtomicDodgeBallLite_EN_160406_iOS_Landscape_Reg,,571aa7656dfbb64b2b0000cd,,56d80b7db36cefb50400001d,2962
24,0,0,0,0,877,CH,"2016-11-18 23:00:00",0,0,0,0,365,,,,,,533
24,0,0,0,0,877,IE,"2016-11-18 21:00:00",0,0,0,0,365,,,,,,47266
6,0,0,0,0,877,DK,"2016-11-18 11:00:00",0,0,0,0,142476,,,,,,533
42,0,0,0,0,877,AT,"2016-11-18 08:00:00",0,0,0,0,365,,,,,,533
30,0,0,0,0,877,NL,"2016-11-18 17:00:00",0,0,0,0,142476,,,,,,533
6,0,0,0,0,877,CH,"2016-11-18 11:00:00",0,0,0,0,365,,,,,,47266
301,0,0,0,0,877,UK,"2016-11-18 00:00:00",0,0,0,0,1899,,,,,,533
18,0,0,0,0,877,DK,"2016-11-18 04:00:00",0,0,0,0,365,,,,,,533
